Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
35192;1;6;14;26;10;13;1;437;392;134;1;26;1.25;7;14;4.18082;0
35196;11;1;36;16;84;6;1;158;457;59;2;23;0.7825;8;12;4.15068;0
35221;1;1;34;25;136;6;1;291;460;33;2;23;1.0475;8;13;4.14247;0
35240;1;1;58;15;135;6;1;287;653;59;2;21;0.693;8;11;4.15068;0
35291;10;1;32;15;30;6;1;17;527;59;1;23;0.59;8;11;2.78082;1
35345;11;1;45;15;98;6;1;198;464;59;1;21;0.705;8;11;4.12055;0
35348;11;1;10;15;125;6;1;264;610;59;2;23;0.705;8;11;4.12055;0
35380;1;16;8;26;12;16;1;594;424;4;2;30;1.165;3;12;4.12603;0
35386;1;1;31;15;43;6;1;48;487;59;2;22;0.614;8;11;4.10959;1
35409;1;4;91;26;248;14;1;357;350;48;1;31;0.3085;11;13;2.11781;1
35414;10;1;36;15;32;6;1;24;536;59;1;21;0.6229;8;11;3.67945;1
35448;11;1;35;15;41;6;1;44;523;59;1;22;0.705;8;11;4.10137;0
35510;10;1;36;15;32;6;1;24;536;59;1;21;0.705;8;11;4.08493;0
35520;1;13;63;26;186;10;1;558;413;30;1;34;0.945;4;12;4.10137;0
35545;1;1;47;15;110;6;1;232;437;59;1;20;0.705;8;11;4.0274;1
35677;11;6;14;26;5;13;1;428;390;137;2;40;1.6;7;15;3.36986;1
35682;1;4;91;26;248;14;1;372;342;142;2;23;0.45;11;10;2.7726;1
35705;1;1;7;15;123;6;1;260;605;59;2;23;0.655;8;11;2.09041;1
35710;1;16;9;26;13;16;1;597;420;59;1;37;4.95;3;18;3.91507;0
35716;11;1;85;15;67;6;1;110;501;59;2;22;0.6229;8;11;3.92329;0
35721;1;5;15;26;20;2;1;379;357;145;1;26;0.85;11;12;1.86575;1
35722;1;6;14;26;10;13;1;427;629;4;1;27;1.35;7;13;3.91507;0
35724;11;1;7;15;62;6;1;97;480;59;1;23;1.328;8;11;3.90411;0
35730;1;4;91;26;248;14;1;371;340;10;1;34;0.385;11;8;3.90411;0
35744;1;4;91;26;248;14;1;357;344;59;1;34;5.605;11;18;2.9726;1
35746;1;1;44;15;60;6;1;91;528;59;2;22;0.6229;8;11;3.87671;1
35752;1;1;33;26;142;6;1;314;302;32;2;36;2.225;8;14;2.67397;1
35765;1;1;44;26;137;6;1;316;300;52;1;31;1.7;8;14;3.89041;0
35766;11;1;28;15;59;6;1;89;537;59;1;20;0.705;8;11;3.88219;0
